Specified	Tree	Fitness	
[18]	mul(ARG18, neg(5))	0.0002967136872923256	
[18, 19]	mul(ARG19, ARG18)	1.0	
[19, 7]	mul(sub(5, ARG7), ARG19)	0.00020754444564225724	
[8, 1, 19, 16]	mul(ARG19, sub(mul(ARG1, ARG8), sub(ARG16, 5)))	5.287111383266169e-06	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19, 13]	mul(ARG19, ARG13)	0.00021536168276128253	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[2]	ARG2	0.0002991643421877127	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG18, ARG19)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[]	sin(sub(5, 5))	0.00029938079063208906	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18]	mul(5, ARG18)	0.00029976787852418807	
[18, 19]	mul(ARG18, ARG19)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 11, 15]	mul(mul(ARG15, ARG11), ARG18)	5.000558523518039e-06	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[12]	ARG12	0.00029958420041913315	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[3, 18, 19]	mul(ARG19, sub(cos(ARG18), cos(ARG3)))	0.0002994259484559932	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18, 15]	mul(mul(ARG15, 5), ARG18)	5.7757834699522706e-05	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[9, 18]	mul(ARG9, ARG18)	0.00020795548462769654	
[18, 19]	mul(ARG18, ARG19)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18, 19]	mul(ARG18, protectedDiv(ARG18, ARG19))	0.0002488001419647471	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18, 19]	mul(ARG18, ARG19)	1.0	
[18, 6]	mul(mul(5, ARG6), ARG18)	5.6794509459963655e-05	
[18, 19]	mul(ARG18, ARG19)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 13]	mul(ARG13, ARG18)	0.00020449693228058251	
[18, 19]	mul(ARG18, ARG19)	1.0	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18, 19]	mul(ARG18, ARG19)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[10, 19]	mul(ARG19, sin(ARG10))	0.00029915809118317765	
[18, 19]	mul(protectedDiv(ARG19, 5), ARG18)	0.0003741979813682326	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[9, 3]	protectedDiv(sub(5, ARG3), add(5, ARG9))	0.00029936746357191846	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[]	5	0.000299377298304177	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[17, 18, 6]	mul(mul(neg(ARG17), add(ARG6, 5)), ARG18)	5.143357969021465e-06	
[18, 12, 13]	mul(ARG18, neg(protectedDiv(ARG13, ARG12)))	0.0002726264163108574	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18]	mul(neg(5), ARG18)	0.0002967136872923256	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18]	mul(neg(5), ARG18)	0.0002967136872923256	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG18, ARG19)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18]	mul(5, ARG18)	0.00029976787852418807	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG18, ARG19)	1.0	
[18, 19]	mul(ARG18, ARG19)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[16, 18]	mul(ARG16, ARG18)	0.00021337702310990827	
[18, 19]	mul(ARG19, ARG18)	1.0	
[7]	ARG7	0.00029922486071894084	
[18, 19]	mul(ARG19, ARG18)	1.0	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[16, 3]	protectedDiv(ARG16, ARG3)	0.00029933784491796935	
[18, 19]	mul(ARG18, ARG19)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19, 13]	mul(ARG19, ARG13)	0.00021536168276128253	
[1, 18]	mul(ARG18, ARG1)	0.00021480593528291593	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[11, 13]	add(neg(ARG11), add(5, ARG13))	0.0002990388168364943	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 11]	mul(ARG18, add(ARG11, 5))	0.0002093984084430135	
[]	sin(cos(5))	0.0002993806128937845	
[18, 19]	mul(ARG18, ARG19)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18]	mul(neg(5), ARG18)	0.0002967136872923256	
[2, 19]	mul(ARG19, ARG2)	0.00021137397009620576	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 14, 15]	mul(add(mul(5, ARG14), mul(ARG15, 5)), ARG18)	4.126063471900672e-05	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18, 15]	mul(ARG18, neg(sin(ARG15)))	0.0002994843145922745	
[17, 19, 15]	mul(neg(add(ARG15, ARG17)), ARG19)	0.00017431252206074753	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[18, 19]	mul(ARG19, ARG18)	1.0	
[14]	sin(add(5, ARG14))	0.00029937797232025646	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19, 5]	mul(ARG19, ARG5)	0.00021883958266387575	
[19, 7]	mul(ARG7, ARG19)	0.00021044745488459508	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 12]	mul(add(sin(5), cos(ARG12)), ARG18)	0.0002990593777062427	
[18, 19]	mul(ARG18, ARG19)	1.0	
[18, 19]	mul(ARG18, ARG19)	1.0	
[18, 15]	mul(ARG15, ARG18)	0.00021288126169683317	
[18, 19]	mul(ARG18, ARG19)	1.0	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[19, 13]	mul(ARG13, ARG19)	0.00021536168276128253	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18, 19]	mul(ARG19, ARG18)	1.0	
[17, 18]	mul(neg(ARG17), ARG18)	0.0002138188136354793	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18]	mul(ARG18, sin(5))	0.0002990424956392221	
[18, 5]	mul(ARG18, cos(ARG5))	0.00029922379487904485	
[18, 19]	mul(ARG19, ARG18)	1.0	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[0, 1, 18]	mul(ARG18, mul(ARG1, ARG0))	5.241263768845397e-06	
[18, 19]	mul(ARG18, ARG19)	1.0	
[19]	mul(ARG19, cos(neg(5)))	0.00029934439566887657	
[19, 0, 18, 11]	mul(mul(cos(ARG11), protectedDiv(ARG19, ARG0)), ARG18)	0.0002821858033896156	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[8, 19, 14]	mul(ARG19, add(ARG14, ARG8))	0.00018162260291269575	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[19, 4]	mul(ARG19, ARG4)	0.0002275826192343982	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19, 7]	mul(ARG19, ARG7)	0.00021044745488459508	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18]	mul(5, ARG18)	0.00029976787852418807	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18, 19]	mul(ARG18, ARG19)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[4]	protectedDiv(5, ARG4)	0.00029919803213186507	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[19, 7]	mul(protectedDiv(add(5, ARG19), sub(5, ARG7)), ARG19)	0.00029722523060049484	
[19]	mul(ARG19, ARG19)	0.00017905077528940116	
[18]	mul(ARG18, ARG18)	0.00017853749761419623	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18, 19]	mul(ARG19, ARG18)	1.0	
[18]	mul(cos(5), ARG18)	0.0002994647353132551	
[18, 19]	mul(ARG19, ARG18)	1.0	
