S.No.	Accuracy	BestAccuracy	RMSE	BestRMSE	
1	0.0002818914410952307	0.00028475434972376646	3546.464925202083	3510.798857401394	
2	0.0004079395716587134	1.0	2450.3434573996433	0.0	
3	0.00029034275018872735	0.0002907131784526067	3443.2051656188564	3438.8165412477997	
4	5.486964808144551e-05	1.0	18224.01209622585	0.0	
5	0.0006774383077371052	0.023772303768044747	1475.14917635876	41.0657589503051	
6	0.00041710413192316083	1.0	2396.482842927628	0.0	
7	0.00026065563534068354	0.0002870850884987752	3835.479494076445	3482.2878476175756	
8	4.276305808291924e-05	1.0	23383.66996586074	0.0	
9	2.395488034965239e-07	1.0	4174513.6934725186	0.0	
10	1.2845238891354659e-05	0.0002974584061975957	77848.85615744667	3360.814556808053	
11	0.0002672622584375508	0.00028375012669594165	3740.6431554763	3523.22750130283	
12	0.00044078769568553684	1.0	226P7.6658674642586	0.0
13	0.000296702600296979	0.00029383942795326435	3369.37828114438	3402.2192581012364	
14	0.0003019894012634893	0.0003014526941957961	3310.3744913434502	3316.2700700777004	
15	0.00030111482271144276	0.00030119656298902036	3319.9922746257375	3319.091006604393	
16	7.690775450401928e-05	1.0	13001.590004727534	0.0	
17	0.000528956464145305	0.0013041377794404145	1889.514754585358	765.7901473025992	
18	0.00027175040911425757	0.0002620524373305275	3678.8472659503873	3815.030143381941	
19	1.2976511445727807e-05	1.0	77061.31402656567	0.0	
20	0.0001575664810666122	0.0002998313027225929	6345.5274672044225	3334.2088021483555	
21	0.0002624465144526524	0.0002954159010412803	3809.3001752016357	3384.0581382897994	
22	0.00040000148456721636	1.0	2498.990721489334	0.0	
23	5.34446341050665e-05	0.9999999999999987	18709.952310649292	1.29807815386905e-15	
24	0.0002997566497728084	0.0003024219879530957	3335.0394198357903	3305.637876327615	
25	0.0004599191468606245	1.0	2173.2952143348	0.0	
26	0.0002660553630263383	0.0002951102525307019	3757.6162091421725	3387.5640753737102	
27	0.00014808447990613904	1.0	6751.902131498412	0.0	
28	0.00028374815974540355	0.0002849460629372434	3523.2519313508924	3508.4361006147333	
29	0.0002833705344832098	0.000288457680435769	3527.948420214988	3465.7130321831405	
30	0.0004815663708671843	1.0	2075.5569618145105	0.0	
