Specified	Tree	Fitness	
[18, 19, 12, 7]	add(protectedDiv(add(neg(ARG19), add(protectedDiv(add(neg(ARG19), add(neg(ARG19), add(neg(ARG19), protectedDiv(add(add(neg(ARG19), protectedDiv(add(add(neg(ARG19), neg(sin(sub(ARG12, ARG7)))), protectedDiv(add(neg(ARG19), neg(ARG19)), 5)), 5)), protectedDiv(add(neg(ARG19), ARG19), 5)), 5)))), 5), add(5, 5))), 5), mul(ARG18, 5))	0.8495701500406816	
[18, 19, 12, 7]	add(protectedDiv(add(neg(ARG19), add(protectedDiv(add(neg(ARG19), add(neg(ARG19), add(neg(ARG19), protectedDiv(add(add(neg(ARG19), protectedDiv(add(add(neg(ARG19), neg(sin(sub(ARG12, ARG7)))), protectedDiv(add(neg(ARG19), neg(ARG19)), 5)), 5)), protectedDiv(add(neg(ARG19), neg(neg(ARG19))), 5)), 5)))), 5), add(5, 5))), 5), mul(ARG18, 5))	0.8495701500406816	
[18, 19, 12, 7]	add(protectedDiv(add(neg(ARG19), add(protectedDiv(add(neg(ARG19), add(neg(ARG19), add(neg(ARG19), protectedDiv(add(add(neg(ARG19), protectedDiv(add(add(neg(ARG19), neg(sin(sub(ARG12, ARG7)))), protectedDiv(add(neg(ARG19), neg(ARG19)), neg(ARG19))), 5)), protectedDiv(add(neg(ARG19), neg(ARG19)), 5)), 5)))), 5), add(5, 5))), 5), mul(ARG18, 5))	0.9701432361642692	
[18, 19, 12, 7]	add(protectedDiv(add(neg(ARG19), add(protectedDiv(add(neg(ARG19), add(neg(ARG19), add(neg(ARG19), protectedDiv(add(add(neg(ARG19), protectedDiv(add(add(neg(ARG19), neg(sin(sub(ARG12, ARG7)))), protectedDiv(add(neg(ARG19), neg(ARG19)), 5)), 5)), protectedDiv(add(neg(ARG19), 5), 5)), 5)))), 5), add(5, 5))), 5), mul(ARG18, 5))	0.9207562892335367	
[18, 19]	add(protectedDiv(add(neg(ARG19), add(protectedDiv(add(neg(ARG19), add(neg(ARG19), add(neg(ARG19), protectedDiv(add(add(neg(ARG19), protectedDiv(add(add(neg(ARG19), 5), protectedDiv(add(neg(ARG19), neg(ARG19)), 5)), 5)), protectedDiv(add(neg(ARG19), neg(ARG19)), 5)), 5)))), 5), add(5, 5))), 5), mul(ARG18, 5))	0.990167237484115	
[18, 19]	add(protectedDiv(add(neg(ARG19), add(protectedDiv(add(neg(ARG19), add(neg(ARG19), add(neg(ARG19), protectedDiv(add(add(neg(ARG19), protectedDiv(add(add(neg(ARG19), neg(5)), protectedDiv(add(neg(ARG19), neg(ARG19)), 5)), 5)), protectedDiv(add(neg(ARG19), neg(ARG19)), 5)), 5)))), 5), add(5, 5))), 5), mul(ARG18, 5))	0.98990014205259	
[18, 19]	add(protectedDiv(add(neg(ARG19), add(protectedDiv(add(neg(ARG19), add(neg(ARG19), add(neg(ARG19), protectedDiv(add(add(neg(ARG19), protectedDiv(add(add(neg(ARG18), neg(5)), protectedDiv(add(neg(ARG19), neg(ARG19)), 5)), 5)), protectedDiv(add(neg(ARG19), neg(ARG19)), 5)), 5)))), 5), add(5, 5))), 5), mul(ARG18, 5))	0.8872898165989564	
[19]	add(protectedDiv(add(neg(ARG19), add(protectedDiv(add(neg(ARG19), add(neg(ARG19), add(neg(ARG19), protectedDiv(add(add(neg(ARG19), protectedDiv(add(add(neg(ARG19), neg(5)), protectedDiv(add(neg(ARG19), neg(ARG19)), 5)), 5)), protectedDiv(add(neg(ARG19), neg(ARG19)), 5)), 5)))), 5), add(5, 5))), 5), mul(ARG19, 5))	0.002429411365586073	
[18, 19, 7]	add(protectedDiv(add(neg(ARG19), add(protectedDiv(add(neg(ARG19), add(neg(ARG19), add(neg(ARG19), protectedDiv(add(add(neg(ARG19), protectedDiv(add(add(neg(ARG19), neg(sin(sub(ARG19, ARG7)))), protectedDiv(add(neg(ARG19), neg(ARG19)), 5)), 5)), protectedDiv(add(neg(ARG19), neg(ARG19)), 5)), 5)))), 5), add(5, 5))), 5), mul(ARG18, 5))	0.99383079625269	
[18, 19, 12, 7]	add(protectedDiv(add(neg(ARG19), add(protectedDiv(add(neg(ARG12), add(neg(ARG19), add(neg(ARG19), protectedDiv(add(add(neg(ARG19), protectedDiv(add(add(neg(ARG19), neg(sin(sub(ARG12, ARG7)))), protectedDiv(add(neg(ARG19), neg(ARG19)), 5)), 5)), protectedDiv(add(neg(ARG19), neg(ARG19)), 5)), 5)))), 5), add(5, 5))), 5), mul(ARG18, 5))	0.23799064957838434	
[1, 18, 19]	add(protectedDiv(add(neg(ARG19), add(protectedDiv(add(neg(ARG19), add(neg(ARG19), add(neg(ARG19), protectedDiv(cos(ARG1), 5)))), 5), add(5, 5))), 5), mul(ARG18, 5))	0.5670809895778774	
[18, 19]	add(protectedDiv(add(neg(ARG19), add(protectedDiv(add(neg(ARG19), add(neg(ARG19), add(neg(ARG19), protectedDiv(add(add(neg(ARG19), protectedDiv(add(add(neg(ARG19), neg(sin(neg(ARG19)))), protectedDiv(add(neg(ARG19), neg(ARG19)), 5)), 5)), protectedDiv(add(neg(ARG19), neg(ARG19)), 5)), 5)))), 5), add(5, 5))), 5), mul(ARG18, 5))	0.9938077842794377	
[18, 19]	add(protectedDiv(add(neg(ARG19), add(protectedDiv(add(neg(ARG19), add(neg(ARG19), add(neg(ARG19), protectedDiv(add(add(neg(ARG19), protectedDiv(add(add(neg(ARG19), neg(5)), protectedDiv(add(ARG19, neg(ARG19)), 5)), 5)), protectedDiv(add(neg(ARG19), neg(ARG19)), 5)), 5)))), 5), add(5, 5))), 5), mul(ARG18, 5))	0.9696055380732471	
[18, 19]	add(protectedDiv(add(neg(ARG19), add(protectedDiv(add(neg(ARG19), add(neg(ARG19), add(neg(ARG19), protectedDiv(add(add(neg(neg(sin(5))), protectedDiv(add(add(neg(neg(ARG19)), neg(5)), protectedDiv(add(neg(ARG19), neg(ARG19)), 5)), 5)), protectedDiv(add(neg(ARG19), neg(ARG19)), 5)), 5)))), 5), add(5, 5))), 5), mul(ARG18, 5))	0.6116759175256097	
[18, 19]	add(ARG19, mul(ARG18, 5))	0.012935924164537949	
[10, 18]	add(protectedDiv(ARG10, 5), mul(ARG18, 5))	0.04386445436828878	
