Specified	Tree	Fitness	
[18]	sub(protectedDiv(sin(sin(5)), neg(sin(cos(5)))), mul(neg(5), ARG18))	0.04861968716346667	
[18]	sub(protectedDiv(sin(sin(sin(sin(sin(sin(sin(sin(5)))))))), neg(cos(5))), mul(neg(5), ARG18))	0.04864757045808949	
[]	sub(protectedDiv(sin(sin(sin(sin(sin(5))))), neg(cos(5))), mul(neg(5), protectedDiv(sin(sin(sin(sin(sin(5))))), neg(sin(cos(5))))))	0.0035363011360324513	
[18]	sub(ARG18, mul(neg(5), ARG18))	0.016794284274137466	
[18]	sub(protectedDiv(sin(sin(sin(5))), neg(cos(5))), mul(neg(5), ARG18))	0.048644324473640255	
[18]	sub(protectedDiv(sin(5), neg(sin(cos(sin(sin(5)))))), mul(neg(5), ARG18))	0.04862868175197692	
[18]	sub(protectedDiv(sin(5), neg(cos(5))), mul(neg(5), ARG18))	0.04856557037792012	
[18]	sub(protectedDiv(sin(sin(sin(sin(sin(sin(sin(sin(sin(5))))))))), neg(cos(5))), mul(neg(5), ARG18))	0.048643863897461385	
[18]	sub(protectedDiv(sin(sin(sin(sin(sin(5))))), neg(sin(cos(5)))), mul(neg(5), ARG18))	0.04865416267420905	
[18]	sub(protectedDiv(sin(sin(sin(sin(sin(5))))), neg(cos(5))), mul(neg(5), ARG18))	0.04865425809985577	
[18]	sub(protectedDiv(sin(sin(sin(sin(sin(5))))), neg(sin(cos(cos(5))))), mul(neg(5), ARG18))	0.04853360629372874	
[18]	sub(protectedDiv(sin(sin(sin(sin(sin(5))))), neg(5)), mul(neg(5), ARG18))	0.048402799942478356	
[18, 7]	sub(protectedDiv(sin(sin(sin(sin(sin(5))))), neg(sin(cos(protectedDiv(sin(ARG7), protectedDiv(5, 5)))))), mul(neg(5), ARG18))	0.04854998836183571	
[18]	sub(protectedDiv(sin(sin(sin(sin(sin(5))))), neg(cos(5))), mul(neg(5), ARG18))	0.04865425809985577	
[18]	sub(protectedDiv(sin(sin(5)), neg(sin(cos(5)))), mul(neg(5), ARG18))	0.04861968716346667	
[18]	sub(protectedDiv(sin(sin(sin(sin(sin(5))))), neg(sin(cos(5)))), mul(neg(sin(sin(sin(5)))), ARG18))	0.0030952632307517177	
[16, 18]	sub(protectedDiv(sin(neg(sin(ARG16))), neg(sin(cos(5)))), mul(neg(5), ARG18))	0.04793850133242046	
[18]	sub(protectedDiv(sin(sin(sin(sin(sin(5))))), neg(sin(cos(5)))), mul(neg(5), ARG18))	0.04865416267420905	
[18]	sub(protectedDiv(sin(sin(sin(sin(sin(5))))), neg(sin(cos(5)))), mul(neg(5), ARG18))	0.04865416267420905	
[18]	sub(protectedDiv(sin(sin(sin(sin(sin(5))))), neg(sin(cos(5)))), mul(neg(5), ARG18))	0.04865416267420905	
[18]	sub(protectedDiv(sin(sin(sin(sin(sin(5))))), neg(cos(5))), mul(neg(5), ARG18))	0.04865425809985577	
[18]	sub(protectedDiv(sin(sin(sin(sin(sin(5))))), neg(sin(cos(5)))), mul(neg(5), ARG18))	0.04865416267420905	
[18]	sub(protectedDiv(sin(5), neg(sin(cos(5)))), mul(neg(5), ARG18))	0.04855876356255186	
[18]	sub(protectedDiv(sin(sin(sin(5))), neg(cos(5))), mul(neg(5), ARG18))	0.048644324473640255	
[18]	sub(protectedDiv(neg(5), neg(cos(5))), mul(neg(5), ARG18))	0.038565373364949064	
[18]	sub(protectedDiv(sin(sin(sin(sin(sin(5))))), neg(cos(5))), mul(sin(sin(sin(sin(sin(5))))), ARG18))	0.00403575368650735	
[18]	sub(protectedDiv(sin(sin(sin(sin(5)))), neg(cos(5))), mul(neg(5), ARG18))	0.04865225041455389	
