Specified	Tree	Fitness	
[3, 6, 12, 18, 19]	add(sin(protectedDiv(add(add(5, 5), protectedDiv(sub(protectedDiv(ARG3, mul(ARG18, 5)), add(ARG6, ARG12)), sub(protectedDiv(ARG3, 5), add(ARG6, ARG12)))), neg(ARG19))), mul(ARG18, 5))	0.05009891193689273	
[6, 10, 12, 14, 18, 19]	add(sin(protectedDiv(add(add(5, 5), add(add(add(5, protectedDiv(add(add(5, 5), protectedDiv(ARG10, ARG14)), 5)), protectedDiv(5, ARG14)), protectedDiv(ARG10, sub(5, add(ARG6, ARG12))))), neg(ARG19))), mul(ARG18, 5))	0.050283037698659036	
[3, 6, 10, 12, 14, 18, 19]	add(sin(protectedDiv(add(add(5, 5), add(add(add(5, protectedDiv(add(add(5, 5), protectedDiv(ARG10, sub(protectedDiv(ARG3, mul(ARG18, 5)), add(ARG6, ARG3)))), neg(5))), protectedDiv(5, ARG14)), protectedDiv(ARG10, sub(5, add(ARG6, ARG12))))), neg(ARG19))), mul(ARG18, 5))	0.05015439384923548	
[10, 18, 14]	add(sin(protectedDiv(add(add(5, 5), protectedDiv(ARG10, ARG14)), 5)), mul(ARG18, 5))	0.04980473807180435	
[1, 10, 14, 18, 19]	add(sin(protectedDiv(add(add(5, 5), add(add(add(5, protectedDiv(add(add(5, ARG1), protectedDiv(ARG10, ARG14)), 5)), protectedDiv(5, ARG14)), protectedDiv(ARG10, sub(5, 5)))), neg(ARG19))), mul(ARG18, 5))	0.0502590308235125	
[3, 6, 10, 12, 18, 19]	add(sin(protectedDiv(add(add(add(add(5, 5), protectedDiv(ARG10, sub(5, add(ARG6, ARG12)))), 5), protectedDiv(ARG10, sub(protectedDiv(ARG3, mul(ARG18, 5)), add(ARG6, mul(ARG18, add(ARG6, ARG12)))))), neg(ARG19))), mul(ARG18, 5))	0.050220794341426615	
[3, 6, 10, 12, 18, 19]	add(sin(protectedDiv(add(add(add(add(5, 5), protectedDiv(5, sub(5, add(ARG6, ARG12)))), 5), protectedDiv(ARG10, sub(protectedDiv(ARG3, mul(ARG18, 5)), add(ARG6, mul(ARG18, 5))))), neg(ARG19))), mul(ARG18, 5))	0.0502358683635481	
[18, 10, 19]	add(sin(protectedDiv(add(add(5, 5), ARG10), neg(ARG19))), mul(ARG18, 5))	0.04977758046407229	
[6, 10, 12, 14, 18, 19]	add(sin(protectedDiv(add(add(5, 5), add(add(add(5, protectedDiv(add(add(5, 5), protectedDiv(ARG10, ARG14)), 5)), protectedDiv(5, ARG14)), protectedDiv(mul(ARG18, 5), sub(5, add(ARG6, ARG12))))), neg(ARG19))), mul(ARG18, 5))	0.05020708452994869	
[6, 10, 12, 18, 19]	add(sin(protectedDiv(add(add(add(add(5, 5), protectedDiv(ARG10, sub(5, add(ARG6, ARG12)))), 5), protectedDiv(ARG10, ARG18)), neg(ARG19))), ARG10)	0.0033482063509423093	
[3, 6, 10, 12, 18]	add(sin(protectedDiv(add(add(5, 5), protectedDiv(ARG10, sub(protectedDiv(ARG3, mul(ARG12, 5)), add(ARG6, ARG12)))), ARG10)), mul(ARG18, 5))	0.04970043289187318	
[18, 19, 12, 6]	add(sin(protectedDiv(add(add(5, 5), protectedDiv(sin(cos(5)), sub(protectedDiv(neg(ARG19), 5), add(ARG6, ARG12)))), neg(ARG19))), mul(ARG18, 5))	0.05006669429100888	
[18, 19]	add(sin(protectedDiv(ARG18, neg(ARG19))), mul(ARG18, 5))	0.04956406698465731	
