S.No.	Accuracy	BestAccuracy	RMSE	BestRMSE	
1	0.00489901197841038	1.0	203.1227913724101	0.0	
2	0.0032996686475438015	1.0	302.0607333085937	0.0	
3	0.06546542748690318	1.0	14.275238219441203	0.0	
4	0.00010008479068948119	1.0	9990.528114422075	0.0	
5	0.034327907974521885	1.0	28.130816848559437	0.0	
6	0.0017336188604192525	1.0	575.828057672471	0.0	
7	0.012201545838608902	1.0	80.95682852214814	0.0	
8	0.04105605256460092	1.0	23.35694465332533	0.0	
9	0.001026814790191518	1.0	972.8854655701672	0.0	
10	0.0029811735552629282	1.0	334.4383706492404	0.0	
11	0.045303479396868185	1.0	21.0733597797155	0.0	
12	0.03517483066860188	1.0	27.429419018998445	0.0	
13	0.0006022428832751207	1.0	1659.4596380812245	0.0	
14	0.023673577985784972	1.0	41.241185536063014	0.0	
15	0.0036480004952322625	1.0	273.12276980415584	0.0	
16	0.0010685618704287215	1.0	934.8372478692193	0.0	
17	0.003978183783038367	1.0	250.37099101948544	0.0	
18	0.03317511879353329	1.0	29.143072168740098	0.0	
19	0.021805361561058088	1.0	44.86028061033792	0.0	
20	0.00421981564553495	1.0	235.97717720396506	0.0	
21	0.032451621076520235	1.0	29.81510158281527	0.0	
22	0.04336115237170481	1.0	22.062117709135123	0.0	
23	0.03282603873053119	1.0	29.463620914146713	0.0	
24	0.003618358798211677	1.0	275.3683912425257	0.0	
25	0.0050268737968530595	1.0	197.9307948462966	0.0	
26	0.004927463077290612	1.0	201.94418939610898	0.0	
27	0.004883406261894955	1.0	203.77509884913002	0.0	
28	0.003448838235102862	1.0	288.95271213994033	0.0	
29	0.011575279185074453	1.0	85.3910048311779	0.0	
30	0.04012827441024126	1.0	23.920084770572313	0.0	
