S.No.	Accuracy	BestAccuracy	RMSE	BestRMSE
1	0.19063396333504937	0.7756073310922249	4.245654984586595	0.2893122072373673	
2	0.22724353634760622	0.8044794654805395	3.400565208905815	0.2430398076135732	
3	0.003505403155461749	1.0	284.27389166119326	0.0	
4	0.11002835291058961	0.8109786568672352	8.088566478974853	0.23307807367328703	
5	0.19365211168575336	0.8105246359030751	4.163899279460159	0.23376879085953278	
6	0.18254629861948676	0.7734425166134582	4.478062319326864	0.29292090688074746	
7	0.5525624162113659	0.9263734282340359	0.809750302701515	0.07947828545376118	
8	0.6477161326277052	0.7751988510368831	0.5438862020359475	0.2899915920443246	
9	0.10157621047583766	0.8096656424983235	8.844824839551126	0.2350777253118662	
10	0.11475354159655206	0.771736614522162	7.7143279944751315	0.295778872198739	
11	0.22956205142576744	0.8119670543306418	3.35612068192101	0.23157706296884936	
12	0.3155650381622122	0.7706814271695441	2.168918856866402	0.29755300276622276	
13	0.2255665188503602	0.8065352081952433	3.4332820539886746	0.239871477201431	
14	0.6255157487747505	0.8116643831838101	0.5986807717611953	0.23203632032913693	
15	0.003389786835605122	0.7761769549724498	294.0038006804303	0.28836600158464476	
16	0.5809139380012572	0.7855635718884653	0.7214253860747196	0.2729714510514249	
17	0.1772735884536038	0.9998847297442734	4.64099823737545	0.00011528354449024675	
18	0.7213277520200461	0.7731040874773137	0.38633235335746446	0.29348688772693177	
19	0.04064055841061529	0.7984128908358676	23.605961116390578	0.2524847876054313	
20	0.21391170453897976	0.8153652570839949	3.6748260089609848	0.22644421173440432	
21	0.1635253261668139	0.7749794319529204	5.115260696559562	0.2903568259612203	
22	0.23180907088465963	0.7845811319015303	3.3138950351842196	0.2745654456109277	
23	0.1756695028717795	0.7487820572055177	4.692507712792335	0.3355020868582735	
24	0.1971036588650943	0.788330377846188	4.073472536014364	0.26850369857891115	
25	0.2174322830549525	0.8123008721067256	3.5991330539783095	0.23107094223162822	
26	0.04010206586618548	0.7712855370654083	23.93637119186948	0.29653669353739726	
27	0.13376884143695175	0.7837540752448511	6.475582424561271	0.2759104310718791	
28	0.005460690935222391	0.7738654455504042	182.12700935880272	0.29221430644026225	
29	0.5765115687888038	0.7721032071706234	0.7345705691577106	0.29516363967001985	
30	0.7067341433244972	0.8098596997051051	0.41495923105677607	0.23478177808345177	
