Specified	Tree	Fitness	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[9, 19]	add(cos(cos(neg(ARG9))), sin(ARG19))	0.4895290401662072	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(cos(ARG19)))	0.5187776529434074	
[19]	add(ARG19, sin(ARG19))	0.017423612986558326	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19, 14]	add(cos(ARG14), sin(ARG19))	0.49576573303679433	
[1, 19]	add(cos(ARG19), sin(sin(ARG1)))	0.5190549220415479	
[19]	add(sin(ARG19), sin(ARG19))	0.5041782051124628	
[19]	add(cos(ARG19), cos(ARG19))	0.5041782051124628	
[19]	add(cos(ARG19), sin(sin(ARG19)))	0.917996506424243	
[19]	add(cos(ARG19), ARG19)	0.017422057768652865	
[19]	add(cos(ARG19), ARG19)	0.017422057768652865	
[1, 19]	add(cos(sin(ARG19)), sin(ARG1))	0.41170473965982707	
[19]	add(ARG19, sin(ARG19))	0.017423612986558326	
[19]	add(cos(ARG19), sin(cos(ARG19)))	0.5187776529434074	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[2]	ARG2	0.016969015286955817	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	cos(sin(ARG19))	0.4403829988512047	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(5))	0.4513808665394076	
[19]	add(cos(ARG19), sin(sin(ARG19)))	0.917996506424243	
[19]	add(cos(ARG19), ARG19)	0.017422057768652865	
[19, 12]	add(cos(sin(cos(ARG12))), sin(ARG19))	0.4806195530688069	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(sin(ARG19)), sin(ARG19))	0.4878660809228833	
[19]	add(cos(ARG19), ARG19)	0.017422057768652865	
[19]	add(cos(ARG19), cos(ARG19))	0.5041782051124628	
[19]	add(sin(ARG19), sin(ARG19))	0.5041782051124628	
[19]	add(cos(ARG19), ARG19)	0.017422057768652865	
[19]	add(cos(sin(ARG19)), sin(ARG19))	0.4878660809228833	
[19]	add(cos(cos(ARG19)), sin(ARG19))	0.48905648002246316	
[19]	add(ARG19, sin(ARG19))	0.017423612986558326	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), ARG19)	0.017422057768652865	
[1, 19]	add(cos(neg(sin(ARG1))), sin(sin(ARG19)))	0.4879950331574196	
[19]	add(cos(ARG19), ARG19)	0.017422057768652865	
[19]	add(cos(ARG19), sin(sin(ARG19)))	0.917996506424243	
[19]	add(cos(ARG19), sin(cos(ARG19)))	0.5187776529434074	
[19]	add(ARG19, sin(ARG19))	0.017423612986558326	
[19]	add(cos(cos(ARG19)), sin(ARG19))	0.48905648002246316	
[19]	add(ARG19, sin(ARG19))	0.017423612986558326	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), ARG19)	0.017422057768652865	
[19]	add(cos(sin(ARG19)), sin(ARG19))	0.4878660809228833	
[8, 19]	add(cos(ARG19), sin(add(ARG8, 5)))	0.4988436099291612	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), cos(ARG19))	0.5041782051124628	
[19]	add(sin(ARG19), sin(ARG19))	0.5041782051124628	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(cos(ARG19)), sin(ARG19))	0.48905648002246316	
[19]	add(ARG19, sin(ARG19))	0.017423612986558326	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[9]	sub(5, ARG9)	0.016956249969028662	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), add(5, 5))	0.0908796768818764	
[19]	add(ARG19, sin(ARG19))	0.017423612986558326	
[19]	add(cos(ARG19), sin(cos(ARG19)))	0.5187776529434074	
[19]	add(ARG19, sin(ARG19))	0.017423612986558326	
[19]	add(cos(ARG19), cos(ARG19))	0.5041782051124628	
[19]	add(sin(ARG19), sin(ARG19))	0.5041782051124628	
[16, 9, 19]	add(mul(sub(5, ARG16), cos(ARG9)), sin(ARG19))	0.023415422509823827	
[10, 19]	add(cos(neg(ARG10)), sin(ARG19))	0.4969615896946806	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), ARG19)	0.017422057768652865	
[19]	add(cos(sin(ARG19)), sin(ARG19))	0.4878660809228833	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(sin(sin(5))), sin(ARG19))	0.5060116331879008	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19, 3]	add(cos(ARG3), sin(ARG19))	0.5038096678466659	
[19, 14]	add(cos(ARG14), sin(ARG19))	0.49576573303679433	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19]	add(cos(ARG19), ARG19)	0.017422057768652865	
[19]	add(cos(sin(ARG19)), sin(ARG19))	0.4878660809228833	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
[19, 2, 3]	add(cos(add(ARG2, ARG3)), sin(ARG19))	0.5029948635368733	
[19]	add(cos(ARG19), sin(cos(ARG19)))	0.5187776529434074	
[19]	add(ARG19, sin(ARG19))	0.017423612986558326	
[19]	add(neg(sin(5)), cos(ARG19))	0.4602989269910349	
[19]	add(sin(ARG19), sin(ARG19))	0.5041782051124628	
[19]	add(cos(ARG19), sin(ARG19))	1.0	
