S.No.	Accuracy	BestAccuracy	RMSE	BestRMSE	
1	0.1692613049475804	1.0	4.90802487496889	0.0	
2	0.10361718673235543	1.0	8.650908614060459	0.0	
3	0.0918632296944283	1.0	9.885748338332721	0.0	
4	0.010486250057858078	1.0	94.36297479866316	0.0	
5	0.010339814430083909	1.0	95.71353453795832	0.0	
6	0.0009675261968850231	1.0	1032.563745580768	0.0	
7	0.126029565734241	1.0	6.934646082243143	0.0	
8	0.11580663055466278	1.0	7.635084150280862	0.0	
9	0.1111598576459775	1.0	7.996053262183956	0.0	
10	0.0030602940555272433	1.0	325.7659845281485	0.0	
11	0.035573280345464066	1.0	27.11098640014821	0.0	
12	0.005000071900163296	1.0	198.99712403482462	0.0	
13	0.0013106996766735681	1.0	761.9512830413641	0.0	
14	0.2216829385579313	1.0	3.5109470602703823	0.0	
15	0.12775830652620854	1.0	6.827279706426435	0.0	
16	0.18071406580472915	1.0	4.53360357173609	0.0	
17	0.005021471772341777	1.0	198.14480163126504	0.0	
18	0.0073356652064939295	1.0	135.32028886961004	0.0	
19	0.005147334791537022	1.0	193.27529789671883	0.0	
20	0.030482176147487116	1.0	31.806056731695577	0.0	
21	0.0010453017878102604	1.0	955.6615226927332	0.0	
22	0.13689211303071203	1.0	6.305022750110139	0.0	
23	0.0030498728659543624	1.0	326.88251968236756	0.0	
24	0.11428642595088753	1.0	7.749945513474466	0.0	
25	0.01461767744004677	1.0	67.41032059309146	0.0	
26	0.12219462441147623	1.0	7.183666055821048	0.0	
27	0.17267072227345212	1.0	4.7913697634063155	0.0	
28	0.22526300259145943	1.0	3.439255397006387	0.0	
29	6.515877642780946e-05	1.0	15346.12673906511	0.0	
30	0.08910598110933071	1.0	10.222591206004747	0.0	
