Specified	Tree	Fitness	
[]	sin(5)	0.5	
[18, 19]	sin(mul(add(sub(ARG19, mul(add(sub(ARG19, 5), add(5, ARG18)), add(sub(ARG19, 5), add(5, ARG18)))), add(5, ARG18)), add(sub(ARG19, 5), add(5, ARG18))))	0.5	
[18, 19, 14]	sin(mul(add(sub(ARG19, 5), add(5, ARG18)), add(sub(ARG19, 5), ARG14)))	0.645	
[18, 19]	sin(mul(add(sub(ARG19, 5), add(5, ARG18)), add(sub(ARG19, 5), add(5, ARG18))))	1.0	
[18, 19]	sin(mul(add(sub(ARG19, 5), add(5, ARG18)), add(sub(ARG19, 5), add(5, ARG18))))	1.0	
[18, 19]	sin(mul(add(sub(ARG19, 5), add(5, ARG18)), add(sub(ARG19, 5), add(5, ARG18))))	1.0	
[18, 19]	sin(mul(add(sub(ARG19, 5), add(5, ARG18)), add(sub(ARG19, 5), add(5, mul(add(sub(ARG19, 5), add(5, ARG18)), add(sub(ARG19, 5), add(5, ARG18)))))))	0.7375	
[18]	sin(ARG18)	0.510625	
[18, 19]	sin(mul(add(sub(ARG19, 5), 5), add(sub(ARG19, 5), add(5, ARG18))))	0.44125000000000003	
[18, 19]	sin(mul(add(sub(ARG19, 5), add(5, ARG18)), add(sub(ARG19, add(5, ARG18)), add(5, ARG18))))	0.44125000000000003	
[18, 19, 4]	sin(mul(add(sub(ARG19, 5), add(5, ARG18)), add(sub(ARG19, protectedDiv(ARG4, ARG19)), add(ARG19, ARG18))))	0.64125	
[18, 19]	sin(mul(add(sub(ARG19, 5), add(5, ARG18)), add(sub(5, 5), add(5, ARG18))))	0.5037499999999999	
[18, 19]	sin(mul(add(sub(ARG19, 5), add(5, ARG18)), add(sub(ARG19, 5), add(5, ARG18))))	1.0	
[18, 19]	sin(mul(add(sub(ARG19, 5), add(5, ARG18)), add(sub(ARG19, 5), add(5, ARG18))))	1.0	
[18, 19]	sin(mul(add(sub(ARG19, 5), add(5, ARG18)), add(sub(ARG19, 5), ARG18)))	0.56125	
[18, 19]	sin(mul(add(sub(ARG19, 5), add(5, add(5, ARG18))), add(sub(ARG19, 5), add(5, ARG18))))	0.125625	
[0, 5, 8, 18, 19]	sin(mul(add(sub(ARG19, 5), add(5, ARG18)), add(sub(ARG19, 5), add(5, mul(add(ARG0, ARG18), sub(ARG5, ARG8))))))	0.58875	
[18, 19]	sin(mul(add(sub(ARG19, 5), add(5, ARG18)), add(sub(ARG19, 5), add(5, ARG18))))	1.0	
[9, 18, 19]	sin(mul(add(sub(ARG19, 5), ARG9), add(sub(sub(ARG19, 5), 5), add(5, ARG18))))	0.49375	
[18, 19]	sin(mul(add(ARG19, add(5, ARG18)), add(sub(ARG19, 5), add(5, ARG18))))	0.125625	
[9, 18, 19]	sin(mul(add(mul(5, ARG9), add(5, ARG18)), add(sub(ARG19, add(sub(ARG19, 5), add(5, ARG18))), add(5, ARG18))))	0.5	
[10]	sin(sin(ARG10))	0.496875	
[18, 19]	sin(mul(add(sub(ARG19, 5), add(sub(ARG19, 5), ARG18)), add(sub(ARG19, 5), add(5, ARG18))))	0.438125	
[18, 19]	sin(mul(add(5, add(5, ARG18)), add(sub(ARG19, 5), add(5, ARG18))))	0.566875	
[18, 19, 5]	sin(mul(add(5, add(ARG5, ARG18)), add(sub(ARG19, 5), add(5, ARG18))))	0.5125	
[18, 19]	sin(mul(add(sub(ARG19, 5), add(sub(ARG19, 5), ARG18)), add(sub(ARG19, 5), add(5, ARG18))))	0.438125	
[18, 19]	sin(mul(ARG19, add(sub(ARG19, 5), add(5, ARG18))))	0.44125000000000003	
[18, 19]	sin(mul(add(sub(ARG19, 5), add(5, ARG18)), add(sub(add(sub(ARG19, 5), add(5, ARG18)), 5), add(5, ARG18))))	0.8025	
