Specified	Tree	Fitness	
[11, 15]	sub(neg(neg(5)), add(neg(ARG15), ARG11))	0.5	
[1, 7, 11, 12, 14, 15, 16, 18]	sub(mul(add(ARG7, mul(add(ARG7, ARG16), sub(sub(5, ARG14), protectedDiv(ARG14, 5)))), sin(mul(add(ARG18, sub(add(ARG12, ARG18), ARG11)), sin(protectedDiv(5, ARG1))))), add(neg(ARG15), ARG11))	0.548125	
[7, 11, 12, 15, 16, 18]	sub(mul(add(ARG7, ARG16), sin(mul(add(ARG18, sub(add(ARG12, ARG18), ARG11)), sin(protectedDiv(5, ARG16))))), add(neg(ARG15), ARG11))	0.5225	
[1, 7, 11, 12, 15, 18]	sub(mul(add(ARG7, ARG1), sin(mul(add(ARG18, sub(add(ARG12, ARG18), ARG11)), sin(protectedDiv(5, ARG1))))), add(neg(ARG15), ARG11))	0.5525	
[1, 7, 11, 12, 15, 16, 18]	sub(mul(add(ARG7, ARG16), sin(mul(add(add(neg(ARG15), ARG11), sub(add(ARG12, ARG18), ARG11)), sin(protectedDiv(5, ARG1))))), add(neg(ARG15), ARG11))	0.5506249999999999	
[1, 7, 11, 12, 16, 18]	sub(mul(add(ARG7, ARG16), sin(mul(add(ARG18, sub(add(ARG12, ARG18), ARG11)), sin(protectedDiv(5, ARG1))))), ARG18)	0.52125	
[1, 7, 11, 12, 15, 16, 18]	sub(mul(add(ARG7, ARG16), sin(mul(add(sub(add(ARG12, ARG18), ARG11), sub(add(ARG12, ARG18), ARG11)), sin(protectedDiv(5, ARG1))))), add(neg(ARG15), ARG11))	0.566875	
[1, 7, 11, 12, 15, 16, 18]	sub(mul(add(ARG7, ARG16), sin(mul(add(ARG18, sub(add(ARG12, ARG18), ARG11)), sin(protectedDiv(5, ARG1))))), add(neg(ARG15), ARG11))	0.569375	
[7, 11, 12, 14, 15, 16, 18]	sub(mul(add(ARG7, ARG16), sin(mul(add(add(ARG12, mul(add(ARG14, ARG16), sin(ARG18))), sub(add(ARG12, ARG18), ARG11)), sin(add(sub(add(sub(add(ARG12, ARG18), ARG11), ARG11), ARG11), sub(add(ARG12, ARG18), ARG11)))))), add(neg(ARG15), ARG11))	0.534375	
[1, 7, 11, 15, 16]	sub(mul(add(ARG7, ARG16), sin(mul(protectedDiv(5, ARG1), sin(protectedDiv(5, ARG1))))), add(neg(ARG15), ARG11))	0.5287499999999999	
