S.No.	Accuracy	BestAccuracy	RMSE	BestRMSE
1	0.00490919842270401	1.0	202.69924250264776	0.0	
2	0.02544041651563995	1.0	38.30753253922679	0.0	
3	0.005159008091226884	1.0	192.835710725196	0.0	
4	0.000937500950619508	1.0	1065.6655850740121	0.0	
5	0.05099034913299052	1.0	18.611554284357794	0.0	
6	0.0017356060515870823	1.0	575.1676153903558	0.0	
7	0.0032731769143928063	1.0	304.5135808891973	0.0	
8	0.051463824415191886	1.0	18.43112489915935	0.0	
9	0.04803462179178813	1.0	19.81831734482309	0.0	
10	0.005239064263292695	1.0	189.87378007680914	0.0	
11	0.04066461418924729	1.0	23.591405081237045	0.0	
12	0.04567465962858531	1.0	20.893978151818647	0.0	
13	0.004953167976547701	1.0	200.8909927413744	0.0	
14	0.03928050398854784	1.0	24.45792183042122	0.0	
15	0.03233121698587411	1.0	29.929859535968344	0.0	
16	0.05924368099230888	1.0	15.879437321422039	0.0	
17	0.03964215394296566	1.0	24.225672687683154	0.0	
18	0.013160547146335737	1.0	74.98468277045973	0.0	
19	0.003146524670428938	1.0	316.8109516820279	0.0	
20	0.005741991323644166	1.0	173.15560972414497	0.0	
21	0.016197760267365812	1.0	60.73693050728344	0.0	
22	0.0032751924844785416	1.0	304.3255662801799	0.0	
23	0.011076326484116305	1.0	89.28264031707822	0.0	
24	0.004815287515204352	1.0	206.6719192452129	0.0	
25	0.004802963698511832	1.0	207.20477995905813	0.0	
26	0.0462427573406448	1.0	20.62500805550053	0.0	
27	0.00539800834317036	1.0	184.2535113742858	0.0	
28	0.03689505444895795	1.0	26.103903624358075	0.0	
29	0.05732716719168937	1.0	16.443736521224242	0.0	
30	0.005380809617378386	1.0	184.8456386879593	0.0	
