Specified	Tree	Fitness	
[1, 18, 15]	mul(mul(mul(ARG18, add(add(add(ARG15, 5), add(protectedDiv(5, ARG1), 5)), 5)), mul(ARG18, add(add(add(ARG15, 5), add(protectedDiv(5, ARG1), 5)), 5))), mul(ARG18, cos(sin(5))))	1.0232602800110328e-09	
[18, 15]	mul(mul(add(add(ARG15, 5), add(protectedDiv(ARG18, add(ARG15, 5)), 5)), add(add(ARG15, 5), add(protectedDiv(ARG18, add(ARG15, 5)), 5))), mul(ARG18, cos(sin(5))))	3.034901150768133e-08	
[1, 18, 17, 15]	mul(mul(mul(ARG18, add(add(add(ARG15, 5), add(protectedDiv(5, ARG1), 5)), 5)), add(add(ARG15, 5), add(protectedDiv(ARG18, add(neg(5), add(ARG17, 5))), 5))), mul(ARG18, cos(sin(5))))	3.245688952063483e-08	
[1, 18, 10, 15]	mul(mul(mul(ARG18, add(add(ARG15, 5), add(protectedDiv(5, ARG1), 5))), add(add(ARG15, 5), add(protectedDiv(ARG10, add(ARG15, 5)), 5))), mul(ARG18, cos(sin(add(protectedDiv(5, ARG1), 5)))))	3.253838604103868e-08	
[1, 18, 15]	mul(mul(mul(ARG18, add(add(add(ARG15, 5), add(protectedDiv(5, ARG1), 5)), 5)), add(add(ARG15, 5), add(protectedDiv(ARG18, add(ARG15, 5)), ARG18))), mul(ARG18, cos(sin(5))))	2.9888972314795594e-08	
[1, 18, 15]	mul(mul(mul(5, add(add(ARG15, 5), add(protectedDiv(5, ARG1), add(protectedDiv(ARG18, add(ARG15, 5)), 5)))), add(add(ARG15, 5), add(protectedDiv(5, 5), 5))), mul(ARG18, cos(sin(add(protectedDiv(5, ARG1), 5)))))	3.0276528999679013e-08	
[1, 15, 16, 18, 19]	mul(mul(mul(ARG18, add(add(ARG15, 5), add(protectedDiv(5, ARG1), 5))), add(add(add(ARG15, 5), add(protectedDiv(5, mul(sin(ARG19), sub(sin(5), ARG16))), 5)), add(protectedDiv(5, ARG1), 5))), mul(ARG18, cos(sin(add(protectedDiv(5, ARG1), 5)))))	2.5567549900348023e-08	
[1, 18, 15]	mul(mul(mul(ARG18, add(add(add(ARG15, 5), add(protectedDiv(5, ARG1), 5)), 5)), add(add(ARG15, cos(5)), add(protectedDiv(add(5, 5), add(ARG15, 5)), 5))), mul(ARG18, cos(sin(5))))	3.245878664964526e-08	
[1, 5, 15, 18, 19]	mul(mul(mul(ARG18, add(add(add(add(add(protectedDiv(sub(5, ARG5), add(ARG1, ARG19)), 5), add(protectedDiv(5, ARG1), 5)), 5), add(protectedDiv(5, ARG1), 5)), 5)), add(add(ARG15, 5), add(protectedDiv(ARG18, add(ARG15, 5)), 5))), mul(ARG18, cos(sin(5))))	3.0045517256289834e-08	
[18, 15]	mul(mul(mul(ARG18, add(ARG15, 5)), add(add(ARG15, 5), add(protectedDiv(ARG18, add(ARG15, 5)), 5))), mul(ARG18, cos(sin(5))))	3.2408590982298204e-08	
[1, 18, 15]	mul(mul(mul(ARG18, add(add(add(ARG15, 5), add(protectedDiv(5, ARG1), 5)), 5)), add(add(ARG15, 5), add(protectedDiv(ARG18, add(ARG15, 5)), 5))), mul(ARG18, cos(sin(5))))	3.254171722509906e-08	
[1, 18, 10, 15]	mul(mul(mul(ARG18, add(add(ARG15, 5), add(protectedDiv(5, ARG1), 5))), add(add(ARG15, 5), add(protectedDiv(ARG10, add(ARG15, 5)), 5))), mul(ARG18, cos(sin(add(protectedDiv(5, ARG1), 5)))))	3.253838604103868e-08	
[1, 18, 19, 15]	mul(mul(mul(ARG18, add(ARG15, add(cos(mul(ARG19, 5)), 5))), add(add(ARG15, 5), add(protectedDiv(5, ARG1), 5))), mul(ARG18, cos(sin(add(protectedDiv(protectedDiv(5, ARG1), ARG1), 5)))))	3.2476652320696105e-08	
[1, 18, 15]	mul(mul(mul(ARG18, add(add(add(add(ARG15, 5), 5), add(protectedDiv(5, ARG1), 5)), 5)), add(add(ARG15, 5), add(protectedDiv(ARG18, add(ARG15, 5)), 5))), mul(ARG18, cos(sin(5))))	3.249192519680873e-08	
[1, 18, 15]	mul(mul(5, add(add(ARG15, 5), add(protectedDiv(5, ARG1), 5))), mul(ARG18, cos(sin(add(protectedDiv(5, ARG1), 5)))))	3.029278541859134e-08	
