Specified	Tree	Fitness	
[1, 4, 6, 7, 11, 13, 14, 15, 19]	mul(add(add(ARG4, add(ARG6, sub(add(add(add(ARG4, 5), add(ARG4, add(add(ARG13, add(add(ARG6, add(ARG4, add(add(ARG6, add(ARG4, ARG19)), sub(5, ARG19)))), sub(5, ARG19))), ARG6))), sub(protectedDiv(ARG19, ARG7), ARG19)), sub(5, ARG19)))), sub(mul(protectedDiv(5, ARG15), ARG19), ARG19)), add(ARG4, add(ARG4, sub(add(add(add(ARG4, 5), add(ARG4, add(add(ARG4, add(add(ARG13, add(add(ARG6, add(ARG4, add(ARG6, add(ARG4, mul(ARG11, ARG19))))), sub(5, ARG19))), sub(mul(protectedDiv(5, 5), add(ARG19, ARG6)), ARG19))), sub(ARG19, ARG19)))), sub(add(ARG14, ARG6), ARG19)), ARG1))))	3.033416138131283e-08	
[1, 4, 6, 7, 11, 13, 14, 15, 17, 19]	mul(add(add(ARG4, add(ARG6, sub(add(add(add(ARG4, 5), add(ARG4, add(add(ARG13, add(add(ARG6, add(ARG4, add(add(ARG6, add(ARG4, mul(ARG11, ARG19))), sub(5, ARG19)))), sub(5, ARG19))), ARG6))), sub(protectedDiv(ARG19, ARG7), ARG17)), sub(5, mul(ARG11, ARG19))))), sub(mul(protectedDiv(5, ARG15), ARG19), ARG19)), add(ARG4, add(ARG4, sub(add(add(add(ARG4, 5), add(ARG4, add(add(ARG4, add(add(ARG13, add(add(ARG6, add(ARG4, add(ARG6, add(ARG4, mul(ARG11, ARG19))))), sub(5, ARG19))), sub(mul(protectedDiv(5, 5), add(ARG14, ARG6)), ARG19))), sub(ARG19, ARG17)))), sub(add(ARG14, ARG6), ARG19)), ARG1))))	3.4250924677203704e-08	
[3, 4, 6, 7, 11, 13, 14, 15, 17, 19]	mul(add(add(ARG4, add(add(sub(5, ARG19), ARG3), sub(add(add(add(mul(ARG6, 5), protectedDiv(5, 5)), add(ARG4, add(add(ARG13, add(add(ARG6, add(ARG4, mul(ARG11, ARG19))), 5)), mul(protectedDiv(5, ARG11), ARG19)))), sub(protectedDiv(ARG19, ARG7), ARG17)), 5))), sub(mul(protectedDiv(5, ARG15), ARG19), ARG19)), add(ARG4, add(ARG4, sub(add(add(ARG4, add(ARG4, ARG11)), sub(add(ARG14, ARG6), ARG19)), 5))))	3.0251816605341174e-08	
[3, 4, 6, 7, 11, 13, 14, 15, 17, 19]	mul(add(add(ARG4, add(add(sub(5, ARG19), ARG3), sub(add(add(add(mul(ARG6, 5), protectedDiv(5, 5)), add(ARG4, add(add(ARG13, add(add(ARG6, add(ARG4, mul(ARG11, ARG19))), 5)), mul(protectedDiv(5, ARG11), ARG19)))), sub(protectedDiv(ARG19, ARG7), ARG17)), 5))), sub(mul(protectedDiv(5, ARG15), ARG19), ARG19)), add(ARG4, add(ARG4, sub(add(add(ARG4, add(ARG4, add(add(ARG13, add(add(ARG6, add(ARG6, add(ARG4, add(add(ARG6, add(ARG4, mul(ARG11, ARG19))), sub(5, ARG19))))), sub(5, ARG19))), sub(ARG19, ARG19)))), sub(add(ARG14, ARG6), ARG19)), 5))))	4.408013944227109e-08	
[4, 6, 7, 11, 13, 14, 17, 19]	mul(add(add(ARG4, add(mul(protectedDiv(5, ARG11), ARG19), sub(add(add(add(ARG4, 5), add(ARG4, add(add(ARG13, add(add(ARG6, add(ARG4, mul(ARG11, ARG19))), sub(sub(add(ARG14, ARG6), ARG19), ARG19))), ARG6))), sub(protectedDiv(ARG19, ARG7), ARG17)), 5))), sub(5, ARG19)), add(ARG4, add(ARG4, add(add(add(ARG4, 5), add(ARG4, add(add(ARG4, add(add(ARG13, add(add(ARG6, add(ARG4, add(ARG6, add(ARG4, mul(ARG11, ARG19))))), sub(5, ARG19))), sub(mul(protectedDiv(5, 5), add(ARG14, ARG6)), ARG19))), sub(ARG19, ARG19)))), sub(ARG13, ARG19)))))	4.400508041786408e-08	
[1, 3, 4, 6, 7, 11, 13, 14, 15, 17, 19]	mul(add(add(ARG4, add(add(sub(mul(protectedDiv(5, ARG15), ARG19), ARG19), ARG3), sub(add(add(add(ARG4, 5), add(ARG4, add(add(ARG13, add(add(ARG6, add(ARG4, add(add(ARG6, add(ARG4, mul(ARG11, ARG19))), sub(5, ARG19)))), sub(5, ARG19))), ARG6))), sub(protectedDiv(ARG19, ARG7), ARG17)), sub(5, ARG19)))), sub(mul(protectedDiv(5, ARG15), ARG19), ARG19)), add(ARG4, add(ARG4, sub(add(add(add(ARG4, 5), add(ARG4, add(add(ARG4, add(add(ARG13, add(add(ARG6, add(ARG4, add(ARG6, add(ARG4, mul(ARG11, ARG19))))), sub(ARG6, ARG19))), sub(mul(protectedDiv(5, 5), add(ARG14, ARG6)), ARG19))), sub(ARG19, ARG19)))), sub(add(ARG14, ARG6), ARG19)), ARG1))))	4.407332550925539e-08	
[1, 3, 4, 6, 7, 8, 11, 13, 14, 15, 19]	mul(add(add(ARG4, add(add(sub(5, ARG19), ARG3), sub(add(add(add(ARG4, 5), add(ARG4, add(add(ARG13, add(add(ARG6, add(ARG4, add(add(ARG6, add(ARG4, mul(ARG11, ARG19))), sub(5, ARG19)))), sub(5, ARG19))), ARG6))), sub(protectedDiv(ARG19, ARG7), sin(protectedDiv(ARG15, ARG8)))), sub(5, ARG19)))), sub(mul(protectedDiv(5, ARG15), ARG19), ARG19)), add(ARG4, add(ARG4, sub(add(add(add(ARG4, ARG13), add(ARG4, add(add(ARG4, add(add(ARG13, add(add(ARG6, add(ARG4, add(ARG6, ARG4))), sub(5, ARG19))), sub(mul(protectedDiv(5, 5), add(ARG14, ARG6)), ARG19))), sub(ARG19, ARG19)))), sub(add(ARG14, ARG6), ARG19)), ARG1))))	3.035816426828044e-08	
[4, 6, 7, 11, 12, 13, 14, 15, 17, 19]	mul(add(add(ARG4, add(mul(protectedDiv(5, ARG11), ARG19), sub(add(add(add(ARG4, 5), add(ARG4, add(add(ARG13, add(add(ARG6, add(add(ARG4, mul(ARG11, ARG19)), mul(ARG11, ARG19))), sub(5, ARG19))), ARG6))), sub(protectedDiv(ARG19, ARG7), ARG17)), 5))), sub(mul(protectedDiv(5, ARG15), ARG19), ARG19)), add(ARG4, add(ARG4, sub(add(add(add(add(add(ARG4, ARG13), sub(add(ARG13, add(add(ARG6, neg(ARG12)), sub(5, ARG19))), ARG19)), 5), add(ARG4, add(add(ARG13, add(add(ARG6, add(ARG4, mul(ARG11, ARG19))), sub(5, ARG19))), sub(ARG19, ARG19)))), sub(add(ARG14, ARG6), ARG17)), 5))))	3.41787156794107e-08	
[1, 3, 4, 6, 7, 11, 13, 14, 15, 17, 19]	mul(add(add(ARG4, add(add(sub(5, ARG19), ARG3), sub(add(add(add(ARG4, 5), add(ARG4, add(add(ARG13, add(add(ARG6, add(ARG4, add(add(ARG6, add(ARG4, mul(ARG19, ARG19))), sub(ARG6, ARG19)))), ARG4)), ARG6))), sub(protectedDiv(ARG19, ARG7), ARG17)), sub(5, ARG19)))), sub(mul(protectedDiv(5, ARG15), ARG19), ARG19)), add(ARG4, add(ARG4, sub(add(add(add(ARG4, 5), add(ARG4, add(add(ARG4, add(add(ARG13, add(add(ARG6, add(ARG4, add(ARG6, add(ARG4, mul(ARG11, ARG19))))), sub(5, ARG19))), sub(mul(protectedDiv(5, 5), add(ARG14, ARG6)), ARG19))), sub(ARG19, ARG19)))), sub(add(ARG14, ARG6), ARG19)), ARG1))))	2.342230335298991e-08	
[1, 3, 4, 6, 7, 11, 13, 14, 15, 17, 19]	mul(add(add(ARG4, add(add(sub(5, ARG19), ARG3), sub(add(add(add(ARG4, 5), add(ARG4, add(add(ARG13, add(add(ARG6, add(ARG4, add(add(ARG6, add(ARG4, mul(ARG11, ARG19))), sub(ARG6, ARG19)))), ARG4)), ARG6))), sub(protectedDiv(ARG19, ARG7), ARG17)), sub(5, ARG19)))), sub(mul(protectedDiv(5, ARG15), ARG19), ARG19)), add(ARG4, add(ARG4, sub(add(add(add(ARG4, 5), add(ARG4, add(add(ARG4, add(add(ARG13, add(add(ARG6, add(ARG4, add(ARG6, add(ARG4, mul(ARG11, ARG19))))), sub(5, ARG19))), sub(mul(protectedDiv(5, 5), add(ARG14, ARG6)), ARG19))), sub(ARG19, ARG11)))), sub(add(ARG14, ARG6), ARG19)), ARG1))))	4.407061362727216e-08	
